楼盘名称,平米数,总价,单价
国美经典中三居，小区中间位置，东南向对广场,125.89平米,765万,"60,768元/平"
双合家园 2室1厅 东南,85.15平米,368万,"43,218元/平"
北苑家园望春园，高楼层，正对花园，采光好，视野好,103.08平米,696万,"67,521元/平"
店长推荐，潘家园商圈，地铁沿线，98年，南向客厅大,43.06平米,300万,"69,671元/平"
京棉新城二厂，四惠商圈，近地铁，楼龄新，格局好,76.76平米,515万,"67,093元/平"
本房新城经典户型，西南向采光好，装修不错，看房方便,89.27平米,618万,"69,229元/平"
富力又一城C区，满五唯一，全南向，观马家湾湿地公园,89.65平米,560万,"62,466元/平"
商品房满五年，采光充足无遮挡，随时看房,97.42平米,678万,"69,596元/平"
新街坊 三居室 南北朝向 两梯四户 交通便利,151.25平米,852万,"56,331元/平"
金隅泰和园南向正对小区花园 满五年唯一 安静舒适,80.86平米,458万,"56,642元/平"
不临街，中间楼层，视野宽阔，大落地飘窗,85.49平米,688万,"80,478元/平"
东会新村，南北两居，婚房装修，步行地铁50米,75.22平米,382万,"50,785元/平"
此房满五年唯一 楼层好 采光充足 视野开阔 落地窗,83.24平米,630万,"75,685元/平"
北纬40度二期 全南两居室 户型方正,83.9平米,728万,"86,770元/平"
北三环内不临街 精装南北通透 正规两居室 地铁200米,65.96平米,590万,"89,449元/平"
垡头北里 2室1厅 东 西,57.24平米,235万,"41,056元/平"
满五年唯一，高层东南向，无西晒，明卫，安静，无抵押,112.42平米,630万,"56,040元/平"
酒仙桥芳园里中间层2居室，明厨明卫，随时可看。,59.95平米,330万,"55,046元/平"
08年新社区，中间位置两居室，远离高压线地铁线，安静,102.57平米,680万,"66,297元/平"
润泽悦溪 板楼洋房满五唯一南北通透自住精装诚售,89.35平米,799万,"89,424元/平"
芍药居北里 2008年新楼 西南朝向 层高2.9米 满五唯一,106.63平米,890万,"83,467元/平"
武圣东里满五唯一商品房，南向无遮挡，近地铁,42.84平米,266万,"62,092元/平"
煤科院小区 管理好，精装修带客厅两居室，无遮挡,71.01平米,698万,"98,297元/平"
炫特区南向户型天花板，婚房未住，满五唯一,73.21平米,506万,"69,117元/平"
农光里 博海家园 满五唯一纯商品房 独院管理 大客厅,100.98平米,675万,"66,845元/平"
朝阳门南大街 外企家属楼 有正规客厅 满五年,61.6平米,545万,"88,475元/平"
经典纯南向一居 高楼层 视野好 精装修 可拎包入住,68.62平米,409万,"59,604元/平"
满五唯一商品房  全南正规2居室  采光视野好,75.67平米,509万,"67,266元/平"
磨房北里 南北通透 有客厅 交通方便花园小区 满五年,54.54平米,346万,"63,440元/平"
6号线地铁，2010年建成，带电梯，南北通透3居。,86.2平米,425万,"49,304元/平"
远洋天地一期 东南无遮挡 诚意出售 急售,117.62平米,790万,"67,166元/平"
满五唯一，全南格局，楼层好，无遮挡，视野开阔。,88.81平米,485万,"54,611元/平"
【总监推荐】建东苑东区 中间楼层 正规两居室,68.76平米,312万,"45,376元/平"
城锦苑 2室1厅 南,92.63平米,610万,"65,854元/平"
清友园满五年唯一，交易仅有契税，户型方正，格局合理,106.69平米,630万,"59,050元/平"
百环家园满五唯一三居 南向无遮挡 采光好位置好,125.55平米,805万,"64,118元/平"
农光东里 南向1居室 采光视野好 看房方便,37.55平米,255万,"67,910元/平"
左家庄北里 教师家属院 精装两居室 采光视野好有车位,57.5平米,388万,"67,479元/平"
户型方正  纯南向  出行方便,84.09平米,458万,"54,466元/平"
满五唯一 南北通透两居 户型方正 高楼层 小区中间位置,95.75平米,682万,"71,228元/平"
满五唯一 全南向 高楼层 视野好 诚意出售 配套齐全,96.98平米,692万,"71,355元/平"
双桥六号井 南北两居 有钥匙 看房方便,55.24平米,219万,"39,646元/平"
和平街十二区化工部南院高层带电梯南北向三居室,91.41平米,852万,"93,207元/平"
朝新嘉园西里一区 南向两居室 高楼层视野好,79.71平米,389万,"48,802元/平"
小关新上1999年精装2居  优质户型 南北通透 3层无挡,58.83平米,512万,"87,031元/平"
胜古北里1991年南向明厨明卫两居室,64.73平米,455万,"70,292元/平"
总监推荐 润泽悦溪 次顶层 满五商品房 看房方便,90.62平米,810万,"89,385元/平"
九台2000，平层3居，满五唯一,129.59平米,900万,"69,450元/平"
6号线褡裢坡，满五唯一，南北通透，集中供暖，高楼层,120.83平米,559万,"46,264元/平"
华腾园  东南向两居室 视野好 无遮挡,93.04平米,745万,"80,074元/平"
东南北向 次顶层 有钥匙随时看 诚意卖价格可谈,310.31平米,4200万,"135,349元/平"
亚运花园 南向大三居  61平大客厅,175.49平米,935万,"53,280元/平"
天润福熙大道，配套齐全，南北通透，精装修，电梯房,147.26平米,1490万,"101,182元/平"
力鸿花园 东南向高层复式  视野和采光都不错,239.25平米,1650万,"68,966元/平"
天创世缘 可直接入住，三室两卫设计，总价不高,132.11平米,878万,"66,460元/平"
嘉铭桐城E区南北通透两居室 餐客通透 产权满五年,119.83平米,1310万,"109,322元/平"
