楼盘名称,平米数,总价,单价
车道沟10号  中间楼层 南北全明两居,61.8平米,710万,"114,887元/平"
玉海园五里 南北通透三居室 户型方正 不临街,83.21平米,699万,"84,005元/平"
成府北河沿 南北通透 精装小三居,57.1平米,785万,"137,479元/平"
玉海园二里新上正规小三居 满五年唯一商品房 中间楼层,86.6平米,690万,"79,677元/平"
西郊宾馆普通住宅无遮挡有院子不临街,39.2平米,403万,"102,807元/平"
玉海园一里 2室1厅 南 北,60.6平米,590万,"97,360元/平"
海淀南路 满五年 高层有电梯 没有遮挡,68.68平米,829万,"120,705元/平"
柳林馆 1室1厅 西南,44.6平米,580万,"130,045元/平"
育新花园小区带电梯三居中间位置正对小区内公园,102.6平米,808万,"78,753元/平"
颐源居小区 东南向三居室 观景好 采光好 视野好,167.49平米,1888万,"112,724元/平"
玉海园，园中园电梯房2020年新装修商品房不临街高楼层,124.12平米,960万,"77,345元/平"
知本时代 电梯三居室 商满五唯一 精装 南北双通透,114.87平米,848万,"73,823元/平"
中关村环保科技园   尚峰尚水   满五唯一   随时签约,108.12平米,825万,"76,305元/平"
2012年南北三居，电梯房人车分流，精装高层视野好,150.73平米,1396万,"92,616元/平"
亮丽园南北三居室 双卫生间 有车位 满五唯一,132.64平米,1450万,"109,319元/平"
水利局小区 中间层南北3居室 2000年楼龄,107.3平米,930万,"86,673元/平"
恩济庄96号院 中间楼层 南北通透 全明格局 满五年唯一,114.51平米,999万,"87,242元/平"
郦城三区 一梯两户 格局方正 满五唯一 带一个大平台,142.44平米,1860万,"130,582元/平"
玉海园一里 1室1厅 南 北,47.1平米,475万,"100,850元/平"
西直门交大东路 南北通透两居室,58.27平米,568万,"97,478元/平"
皂君庙甲16号院 央产房 楼龄新  有电梯,91平米,826万,"90,770元/平"
高层无遮挡，北航南门位置优越精装修两居室,78.8平米,770万,"97,716元/平"
永定路1号院 满五唯一 中间楼层视野开阔,49.1平米,418万,"85,133元/平"
公主坟，翠微东里，电梯房，南向一居室。,43.5平米,533万,"122,529元/平"
永景园 满五唯一 南北通透 采光充足视野好,70.07平米,585万,"83,488元/平"
三里河路5号院，朝南两居室，采光好，不临街，楼龄新,60.3平米,710万,"117,745元/平"
牡丹园地铁10号线地铁19号线塔院小区两居室,65.75平米,653万,"99,316元/平"
定慧福里北区诚意出售，看房方便，采光充足,74.29平米,635万,"85,476元/平"
五道口三居室 中低层 诚意出售 价格可谈,58.9平米,586万,"99,491元/平"
城华园 满五年唯一 国知局分房 有电梯 马上改造完毕,87.45平米,740万,"84,620元/平"
永达逸家 近地铁 楼龄新  户型方正,58.6平米,460万,"78,499元/平"
三环内北邮北师大  双轨交汇 临公园 有电梯,54.13平米,532万,"98,282元/平"
五棵松地铁南，太平路西郊苗圃宿舍家属院南北两居室,54.7平米,515万,"94,150元/平"
南北通透两居室 精装修 满五年唯一 看房随时,60.9平米,550万,"90,312元/平"
双紫小区 二居室 随时签约 户型方正,81.64平米,860万,"105,341元/平"
万寿路西街11号院 1室1厅 东 西,55.76平米,660万,"118,365元/平"
翠微东里 一层 精装修 未住 可拎包入住,65.1平米,730万,"112,136元/平"
此房满五年唯一商品房，南北通透格局，精装修中间层,54.1平米,640万,"118,300元/平"
莲花池东路9号院 2室1厅 东南,81.72平米,830万,"101,567元/平"
满五唯一 南北通透三居室 全明格局户型方正 采光充足,76.3平米,729万,"95,544元/平"
永金里小区 满五年唯一三居室 诚心出售,131.99平米,939万,"71,142元/平"
清河 君安家园东区 正规三居室 中间楼层 业主诚售,143.76平米,890万,"61,909元/平"
乐府江南 全明格局 南北通透 次顶层 有钥匙  有车位,140.6平米,1500万,"106,686元/平"
颐源居三期板楼 南北通透 观小区花园,134.23平米,1650万,"122,924元/平"
紫竹桥世纪新景 04年商品房 南向复式 采光视野好,223.79平米,1880万,"84,008元/平"
优质房源推荐，费用少，视野好，随时看，随时签。,144.53平米,1520万,"105,169元/平"
丹青府 全明格局  满五年唯一  有车位,129.19平米,1099万,"85,069元/平"
首创天阅西山 精装四居 两梯两户 万科物业。,179.73平米,1660万,"92,361元/平"
亮甲店小区 小区近地铁三居 中间楼层,88.31平米,812万,"91,949元/平"
南北双阳台，满五唯一，楼层3层，户型方正,96.7平米,782万,"80,869元/平"
南向两居室 满五年  看房随时 业主靠谱出售,47.68平米,488万,"102,349元/平"
恩济里小区 低楼层，南北通透，满五年唯一 诚售好房,77.4平米,797万,"102,972元/平"
逸升轩，4居复式，地铁6号线，有钥匙,202.99平米,1450万,"71,433元/平"
百旺家苑 南北通透 四居室 诚意出售,164.46平米,1260万,"76,615元/平"
满五年唯一，精装修，全明户型，采光和视野无遮挡,46平米,458万,"99,566元/平"
南北通透 主卧带明卫 四居室 次顶层,238.07平米,3366万,"141,387元/平"
皂君庙14号院 带电梯 南向房 采光好,109.4平米,1085万,"99,178元/平"
学院路甲39号院三居 明厨明卫 田字格户型 通透采光好,85.69平米,935万,"109,115元/平"
豪柏国际公寓 南北三居 高层视野棒 一梯两户 环境好,168.39平米,1530万,"90,861元/平"
店长推荐，海淀次新房，国企金隅地产开发，精装修两居,69.13平米,510万,"73,775元/平"
满庭芳园 2室1厅 东 南,85.48平米,956万,"111,840元/平"
永定路1号院 玉泉南北两居室 精装修不临街,56.8平米,510万,"89,789元/平"
海淀路小区 满五年唯一 低楼层 诚意出售,37.9平米,436万,"115,040元/平"
小营干休所新登记正规四居，成本价 随时签约,100.55平米,728万,"72,402元/平"
世华龙樾一期西区三居室满五年唯一商品房小区中间位置,86.61平米,875万,"101,028元/平"
郦城三区南北通透，双卫两居，落地窗。采光充足，安静,114.55平米,1368万,"119,424元/平"
盛今佳园 2室1厅 东 北,84.04平米,860万,"102,333元/平"
铁东小区 2室1厅 南 北,59.4平米,672万,"113,132元/平"
逸成东苑 小区环境好，东南向户型好，高楼层,88.67平米,1000万,"112,778元/平"
中国兵器家属院 田字格户型3居  中间层 临地铁10号线,76.7平米,900万,"117,341元/平"
皂君东里小区 满五唯一 南向一居室,41平米,435万,"106,098元/平"
索家坟   精装修 业主诚心卖 车位充足 不临街不吵闹,57.9平米,520万,"89,811元/平"
宏嘉丽园南向好户型2居 产权清晰无抵押 诚意出售,99.39平米,1100万,"110,676元/平"
五道口 展春园南北通透全明格局 两居室 精装修,57.7平米,600万,"103,987元/平"
紫金庄园 不临街 视野好 满五唯一 有电梯 中间层,66.91平米,618万,"92,363元/平"
海淀北部新区 中国铁建环保嘉苑 南向一居室,53.22平米,405万,"76,100元/平"
北坞嘉园北里，高楼层，采光好，视野宽阔，无遮挡,64.54平米,630万,"97,614元/平"
金沟河5号院南北通透大客厅精装修两居室,61.8平米,595万,"96,279元/平"
环保局宿舍楼 南北通透三居 中间层 交通便利,66.1平米,728万,"110,137元/平"
清缘里，成本价，南北向，中间层，满五年家庭唯一,68.38平米,530万,"77,509元/平"
八里庄北里 2室1厅 南 北,57.2平米,560万,"97,903元/平"
知春里豪景佳苑 中楼层 采光视野好 停车方便,101.62平米,1015万,"99,882元/平"
甘家口8号院全明格局三居室采光好,78.22平米,838万,"107,134元/平"
西直门 北二环 南北通透三居 中间楼层 满五年唯一,69.75平米,695万,"99,642元/平"
万寿路26号院-1990年社区-精装电梯两居-满五年央产房,70.5平米,758万,"107,518元/平"
清上园 2室1厅 西南,114.05平米,896万,"78,563元/平"
翠微南里  精装一居室  业主诚心出售 看房提前联系,44.57平米,538万,"120,709元/平"
景和园 3室1厅 南 北,94.13平米,718万,"76,278元/平"
世华龙樾四期 4室2厅 南 北,194.22平米,2596万,"133,663元/平"
农科院教师家属楼，全明格局，交通便利，看房随时,57.73平米,772万,"133,726元/平"
马连洼竹园高楼层两居室，诚意出售，南北通透。,59.3平米,529万,"89,208元/平"
玉海园三里 电梯两居室 诚心出售 看房提前联系,78.39平米,670万,"85,471元/平"
定慧西里 2室1厅 南 北,61.6平米,470万,"76,299元/平"
强佑清河新城府学上院一居室诚意出售,60.57平米,508万,"83,870元/平"
玉泉路16号院楼龄新能贷款中间层满五年唯一商品房对外,36.2平米,385万,"106,354元/平"
绿波漫板 满五唯一 无遮挡 中间层 人车分流 装修不错,65.22平米,469万,"71,911元/平"
永泰园，全南向两居室，满五唯一，业主诚心出售,115.42平米,780万,"67,580元/平"
厂洼西街10号院中间层两居室，南北通透，小区中间位置,93平米,965万,"103,764元/平"
皂君庙甲16号院 西南朝向三居室，满五年唯一,129.4平米,1077万,"83,231元/平"
东王庄小区 电梯东南精装修二居室，中间层采光好优质,62.15平米,649万,"104,425元/平"
满五年唯一住房，有电梯，精装修，诚心卖,58.3平米,528万,"90,567元/平"
万寿路1号院 经典3居室  有正规客厅 南北通透 中间层,79.13平米,850万,"107,419元/平"
中关村东路89号楼，带电梯，两个卫生间,143.92平米,1220万,"84,770元/平"
毛纺北小区，满五年唯一住房，有电梯，精装修，诚心卖,56.5平米,535万,"94,691元/平"
永泰东里 满二年成本价  精装修  无遮挡 紧挨公园,58.02平米,435万,"74,975元/平"
永定路西里 3室1厅 南 北,112.3平米,1150万,"102,405元/平"
知春路82号院 2室1厅 南 北,58.7平米,850万,"144,805元/平"
金隅美和园南北向两居室带挑高 诚意出售 位置好,83.55平米,668万,"79,953元/平"
