名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·碧桂园星港国际 1室1厅 东南,花都,新区,碧桂园星港国际,60.00㎡,东南,1室1厅1卫
整租·越秀国际总部广场 1室1厅 西,南沙,金洲,越秀国际总部广场,64.00㎡,西,1室1厅1卫
整租·宝源路 1室0厅 南,荔湾,西关,宝源路,120.00㎡,南,1室0厅1卫
整租·惠福东路 1室0厅 东,越秀,北京路,惠福东路,100.00㎡,东,1室0厅1卫
整租·小北路 1室0厅 南,越秀,小北,小北路,104.00㎡,南,1室0厅1卫
整租·凯旋新世界枫丹丽舍 1室2厅 东北,天河,珠江新城东,凯旋新世界枫丹丽舍,114.00㎡,东北,1室2厅1卫
整租·德祥路 1室0厅 南,番禺,市桥,德祥路,60.00㎡,南,1室0厅1卫
整租·星河壹号公馆 1室1厅 南,南沙,金洲,星河壹号公馆,65.00㎡,南,1室1厅1卫
整租·越秀国际总部广场 1室1厅 南,南沙,金洲,越秀国际总部广场,63.00㎡,南,1室1厅1卫
整租·合景天峻广场 1室0厅 南,黄埔,知识城,合景天峻广场,61.83㎡,南,1室0厅0卫
整租·敏捷尚品国际 1室1厅 南,南沙,进港大道,敏捷尚品国际,67.00㎡,南,1室1厅1卫
整租·恒大珺睿 1室1厅 南,天河,珠江新城东,恒大珺睿,68.00㎡,南,1室1厅1卫
整租·保利天悦 1室1厅 北,海珠,万胜围,保利天悦,68.21㎡,北,1室1厅1卫
整租·方圆月岛轩 1室1厅 北,天河,珠江新城中,方圆月岛轩,72.00㎡,北,1室1厅1卫
整租·纸行路 1室0厅 西,越秀,西门口,纸行路,60.00㎡,西,1室0厅0卫
整租·粤海广场 1室1厅 南,番禺,万博,粤海广场,60.00㎡,南,1室1厅1卫
整租·方圆月岛轩 1室1厅 北,天河,珠江新城中,方圆月岛轩,66.00㎡,北,1室1厅1卫
整租·方圆月岛轩 1室1厅 北,天河,珠江新城中,方圆月岛轩,60.00㎡,北,1室1厅1卫
整租·汇金国际金融中心 1室1厅 南,天河,金融城,汇金国际金融中心,60.00㎡,南,1室1厅1卫
整租·方圆月岛轩 1室1厅 西,天河,珠江新城中,方圆月岛轩,66.00㎡,西,1室1厅1卫
整租·恒大珺睿 1室1厅 西南,天河,珠江新城东,恒大珺睿,62.00㎡,西南,1室1厅1卫
整租·棠德花苑 1室1厅 东南,天河,棠下,棠德花苑,80.00㎡,东南,1室1厅1卫
整租·解放北路(越秀区) 1室1厅 西,越秀,解放北,解放北路(越秀区),75.59㎡,西,1室1厅1卫
整租·宝源路 1室0厅 北,荔湾,西关,宝源路,80.00㎡,北,1室0厅1卫
整租·高德公馆 1室1厅 东,天河,珠江新城中,高德公馆,64.00㎡,东,1室1厅1卫
整租·正佳万豪金殿 1室1厅 复式 东,天河,天河南,正佳万豪金殿,71.00㎡,东,1室1厅1卫
整租·正佳万豪金殿 1室1厅 复式 东,天河,天河南,正佳万豪金殿,65.00㎡,东,1室1厅2卫
整租·珠光新城国际中心 1室1厅 复式 西北,天河,珠江新城东,珠光新城国际中心,60.00㎡,西北,1室1厅1卫
整租·方圆白云时光 1室1厅 东南,白云,黄石,方圆白云时光,69.00㎡,东南,1室1厅1卫
整租·保利中汇广场 1室1厅 北,天河,林和,保利中汇广场,79.16㎡,北,1室1厅1卫
整租·椰诚阁 1室0厅 西,越秀,越秀南,椰诚阁,60.00㎡,西,1室0厅0卫
整租·力迅上筑 1室0厅 东,天河,珠江新城东,力迅上筑,65.00㎡,东,1室0厅1卫
整租·万菱汇广场 1室1厅 北,天河,天河南,万菱汇广场,68.97㎡,北,1室1厅1卫
整租·中达广场 1室1厅 复式 北,天河,珠江新城中,中达广场,62.00㎡,北,1室1厅1卫
整租·恒大珺睿 1室1厅 北,天河,珠江新城东,恒大珺睿,69.00㎡,北,1室1厅1卫
整租·恒大珺睿 1室1厅 南,天河,珠江新城东,恒大珺睿,61.00㎡,南,1室1厅1卫
整租·高德公馆 1室1厅 西南,天河,珠江新城中,高德公馆,64.00㎡,西南,1室1厅1卫
整租·粤海广场 1室1厅 西南,番禺,万博,粤海广场,66.00㎡,西南,1室1厅1卫
整租·椰诚阁 1室0厅 东,越秀,越秀南,椰诚阁,60.00㎡,东,1室0厅0卫
整租·创逸雅苑 1室1厅 南,天河,龙口东,创逸雅苑,80.00㎡,南,1室1厅1卫
整租·中山六路 1室1厅 东/西,越秀,西门口,中山六路,80.00㎡,东 西,1室1厅1卫
整租·锐丰中心 1室0厅 南,黄埔,香雪,锐丰中心,63.00㎡,南,1室0厅1卫
整租·萝岗敏捷广场 1室1厅 北,黄埔,科学城,萝岗敏捷广场,60.00㎡,北,1室1厅1卫
整租·嘉大广场 1室0厅 南,白云,嘉禾望岗,嘉大广场,65.00㎡,南,1室0厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,69.50㎡,南,1室1厅1卫
整租·新都盛世名门宏城汇 1室1厅 南,增城,白江,新都盛世名门宏城汇,60.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,69.49㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.88㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.88㎡,南,1室1厅1卫
整租·招鑫富荔广场 1室0厅 复式 南,黄埔,开发西区,招鑫富荔广场,67.00㎡,南,1室0厅1卫
整租·奥园中环广场 1室1厅 南/北,南沙,金洲,奥园中环广场,72.73㎡,南 北,1室1厅1卫
整租·荔德新都汇 1室1厅 南,番禺,沙湾,荔德新都汇,70.00㎡,南,1室1厅1卫
整租·嘉大广场 1室0厅 东,白云,嘉禾望岗,嘉大广场,63.97㎡,东,1室0厅1卫
整租·小新塘大未来 1室1厅 东北,天河,智慧城,小新塘大未来,68.00㎡,东北,1室1厅1卫
整租·嘉大广场 1室0厅 东北,白云,嘉禾望岗,嘉大广场,60.00㎡,东北,1室0厅1卫
整租·南国奥园 1室1厅 东,番禺,汉溪长隆,南国奥园,71.00㎡,东,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,69.00㎡,南,1室1厅1卫
整租·奥园广场 1室1厅 南,番禺,桥南,奥园广场,60.00㎡,南,1室1厅1卫
整租·中交汇通中心 1室1厅 南,南沙,明珠湾,中交汇通中心,60.00㎡,南,1室1厅1卫
整租·奥园广场 1室1厅 南,番禺,桥南,奥园广场,60.00㎡,南,1室1厅1卫
整租·嘉大广场 1室0厅 南,白云,嘉禾望岗,嘉大广场,66.67㎡,南,1室0厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,73.36㎡,南,1室1厅1卫
整租·合景誉山国际 1室0厅 北,增城,永宁,合景誉山国际,80.00㎡,北,1室0厅1卫
整租·嘉大广场 1室0厅 东北,白云,嘉禾望岗,嘉大广场,60.00㎡,东北,1室0厅1卫
整租·嘉大广场 1室0厅 东北,白云,嘉禾望岗,嘉大广场,60.00㎡,东北,1室0厅1卫
整租·富丽家园莲芳园 1室1厅 西南,番禺,大石,富丽家园莲芳园,60.00㎡,西南,1室1厅1卫
整租·敏捷锦绣广场 1室0厅 南,增城,荔城西区,敏捷锦绣广场,60.00㎡,南,1室0厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.88㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.88㎡,南,1室1厅1卫
整租·敏捷君御国际 1室0厅 南,南沙,金洲,敏捷君御国际,73.76㎡,南,1室0厅1卫
整租·嘉大广场 1室0厅 东南,白云,嘉禾望岗,嘉大广场,62.88㎡,东南,1室0厅1卫
整租·新塘广场 1室1厅 东南,增城,新塘南,新塘广场,65.00㎡,东南,1室1厅1卫
整租·敏捷君御国际 1室1厅 南,南沙,金洲,敏捷君御国际,72.40㎡,南,1室1厅1卫
整租·合景誉山国际 1室1厅 东南,增城,永宁,合景誉山国际,74.00㎡,东南,1室1厅1卫
整租·敏捷君御国际 1室1厅 西北,南沙,金洲,敏捷君御国际,74.29㎡,西北,1室1厅1卫
整租·隆辉创意公馆  1室1厅 北,番禺,钟村,隆辉创意公馆 ,75.00㎡,北,1室1厅1卫
整租·东凌广场 1室1厅 南,增城,凤凰城,东凌广场,63.00㎡,南,1室1厅1卫
整租·东凌广场 1室1厅 南,增城,凤凰城,东凌广场,63.00㎡,南,1室1厅1卫
整租·南沙万达广场 1室0厅 东南,南沙,金洲,南沙万达广场,68.00㎡,东南,1室0厅1卫
整租·雄峰城 1室1厅 东北,番禺,钟村,雄峰城,66.16㎡,东北,1室1厅1卫
整租·雄峰城 1室1厅 东北,番禺,钟村,雄峰城,66.16㎡,东北,1室1厅1卫
整租·碧桂园星港国际 1室1厅 南,花都,新区,碧桂园星港国际,60.82㎡,南,1室1厅1卫
整租·奥园养生广场 1室1厅 南,番禺,桥南,奥园养生广场,60.00㎡,南,1室1厅1卫
整租·百合苑B区 1室0厅 西,天河,员村,百合苑B区,66.36㎡,西,1室0厅1卫
整租·东凌广场 1室1厅 南,增城,凤凰城,东凌广场,63.00㎡,南,1室1厅1卫
整租·南沙万达广场 1室0厅 南,南沙,金洲,南沙万达广场,63.00㎡,南,1室0厅1卫
整租·亚运城媒体北村 1室1厅 南/北,番禺,亚运城,亚运城媒体北村,76.00㎡,南 北,1室1厅1卫
整租·积德花园 1室1厅 南/北,白云,同德围,积德花园,60.00㎡,南 北,1室1厅1卫
整租·南沙万达广场 1室1厅 东,南沙,金洲,南沙万达广场,68.00㎡,东,1室1厅1卫
整租·南沙万达广场 1室1厅 南,南沙,金洲,南沙万达广场,66.00㎡,南,1室1厅1卫
整租·南沙万达广场 1室0厅 西南,南沙,金洲,南沙万达广场,63.80㎡,西南,1室0厅1卫
整租·碧桂园星港国际 1室1厅 南,花都,新区,碧桂园星港国际,61.00㎡,南,1室1厅1卫
整租·东凌广场 1室1厅 东,增城,凤凰城,东凌广场,63.00㎡,东,1室1厅1卫
整租·绿地汇创国际 1室1厅 北,白云,太和,绿地汇创国际,60.00㎡,北,1室1厅1卫
整租·越秀国际总部广场 1室1厅 南,南沙,金洲,越秀国际总部广场,63.00㎡,南,1室1厅1卫
整租·星河壹号公馆 1室1厅 东,南沙,金洲,星河壹号公馆,60.00㎡,东,1室1厅0卫
整租·盈港国际 1室1厅 西南,南沙,进港大道,盈港国际,70.00㎡,西南,1室1厅1卫
整租·腾步大厦 1室1厅 南,花都,旧区,腾步大厦,62.00㎡,南,1室1厅1卫
整租·东凌广场 1室1厅 东,增城,凤凰城,东凌广场,62.57㎡,东,1室1厅1卫
整租·富力天海湾 1室1厅 南/北,南沙,明珠湾,富力天海湾,60.00㎡,南 北,1室1厅1卫
整租·越秀国际总部广场 1室1厅 东北,南沙,金洲,越秀国际总部广场,63.00㎡,东北,1室1厅1卫
整租·南沙万达广场 1室1厅 西南,南沙,金洲,南沙万达广场,68.04㎡,西南,1室1厅1卫
整租·南沙万达广场 1室0厅 南,南沙,金洲,南沙万达广场,62.00㎡,南,1室0厅1卫
整租·方圆泉溪月岛 1室2厅 南/北,从化,温泉镇,方圆泉溪月岛,68.67㎡,南 北,1室2厅1卫
整租·越秀国际总部广场 1室1厅 南,南沙,金洲,越秀国际总部广场,65.00㎡,南,1室1厅1卫
整租·东凌广场 1室1厅 东,增城,凤凰城,东凌广场,63.00㎡,东,1室1厅1卫
整租·南沙万达广场 1室1厅 南,南沙,金洲,南沙万达广场,60.00㎡,南,1室1厅1卫
整租·时代维港 1室1厅 东北,南沙,进港大道,时代维港,61.00㎡,东北,1室1厅1卫
整租·越秀国际总部广场 1室1厅 南/北,南沙,金洲,越秀国际总部广场,62.00㎡,南 北,1室1厅1卫
整租·碧桂园星港国际 1室1厅 南,花都,新区,碧桂园星港国际,60.00㎡,南,1室1厅1卫
整租·大都汇 1室1厅 东北,白云,人和,大都汇,80.00㎡,东北,1室1厅1卫
整租·天马丽苑二期 1室1厅 西南,花都,铁路西,天马丽苑二期,64.00㎡,西南,1室1厅1卫
整租·南沙万达广场 1室1厅 南,南沙,金洲,南沙万达广场,69.00㎡,南,1室1厅1卫
整租·中国铁建环球中心 1室1厅 东,南沙,南沙区府,中国铁建环球中心,64.00㎡,东,1室1厅1卫
整租·中国铁建环球中心 1室1厅 南,南沙,南沙区府,中国铁建环球中心,64.49㎡,南,1室1厅1卫
整租·越秀国际总部广场 1室1厅 北,南沙,金洲,越秀国际总部广场,63.00㎡,北,1室1厅1卫
整租·碧桂园星港国际 1室1厅 南,花都,新区,碧桂园星港国际,60.82㎡,南,1室1厅1卫
整租·嘉大广场 1室0厅 东北,白云,嘉禾望岗,嘉大广场,60.00㎡,东北,1室0厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,74.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·东山创意园 1室1厅 南,白云,新市,东山创意园,67.00㎡,南,1室1厅1卫
整租·合景誉山国际 1室1厅 南,增城,永宁,合景誉山国际,76.00㎡,南,1室1厅1卫
整租·隆辉创意公馆  1室1厅 北,番禺,钟村,隆辉创意公馆 ,75.00㎡,北,1室1厅1卫
整租·东凌广场 1室1厅 南,增城,凤凰城,东凌广场,63.00㎡,南,1室1厅1卫
整租·南沙万达广场 1室1厅 东,南沙,金洲,南沙万达广场,68.00㎡,东,1室1厅1卫
整租·越秀国际总部广场 1室1厅 东,南沙,金洲,越秀国际总部广场,64.00㎡,东,1室1厅1卫
整租·合景天峻广场 1室1厅 南,黄埔,知识城,合景天峻广场,69.00㎡,南,1室1厅1卫
整租·荷塘领会 1室1厅 东,白云,黄石,荷塘领会,60.00㎡,东,1室1厅1卫
整租·广州绿地城 1室1厅 东南,黄埔,知识城,广州绿地城,80.00㎡,东南,1室1厅1卫
整租·星港城 1室1厅 南,南海,金沙洲,星港城,60.00㎡,南,1室1厅1卫
整租·时代糖果二期 1室1厅 西北,南海,金沙洲,时代糖果二期,60.00㎡,西北,1室1厅1卫
整租·富宾星悦国际 1室1厅 复式 东南,番禺,市桥北,富宾星悦国际,60.55㎡,东南,1室1厅1卫
整租·碧丽苑 1室1厅 东,天河,棠下,碧丽苑,60.00㎡,东,1室1厅1卫
整租·金东花苑 1室1厅 东南,天河,东圃,金东花苑,60.00㎡,东南,1室1厅1卫
整租·省农机所 1室1厅 南/北,天河,天润路,省农机所,65.00㎡,南 北,1室1厅1卫
整租·萝岗万达广场 1室0厅 南,黄埔,科学城,萝岗万达广场,64.00㎡,南,1室0厅1卫
整租·东凌广场 1室1厅 南/北,增城,凤凰城,东凌广场,63.00㎡,南 北,1室1厅0卫
整租·SOLO禺意湾8号 1室0厅 南/北,番禺,大石,SOLO禺意湾8号,66.00㎡,南 北,1室0厅1卫
整租·兴普紫园 1室1厅 东,黄埔,科学城,兴普紫园,73.68㎡,东,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.50㎡,北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,70.62㎡,北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,75.58㎡,北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.50㎡,北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.06㎡,北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.06㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.50㎡,北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.50㎡,北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 南,白云,人和,凤和城,74.50㎡,南,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,70.62㎡,北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.65㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,74.06㎡,北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,74.50㎡,南 北,1室1厅1卫
整租·方圆月岛轩 1室1厅 复式 北,天河,珠江新城中,方圆月岛轩,73.00㎡,北,1室1厅1卫
独栋·东呈酒店集团 君御柏曼酒店广州番禺广场政务中心店 豪华套房 开间,,,,70.00㎡,,1室0厅1卫
整租·中达广场 1室1厅 南,天河,珠江新城中,中达广场,64.00㎡,南,1室1厅1卫
独栋·智选假日酒店 智选假日酒店-广州番禺店 园景套房-0中介费/一房一厅/水电全包/无忧退押 1室1厅,,,,70.00㎡,,1室1厅1卫
整租·万菱汇广场 1室0厅 东,天河,天河南,万菱汇广场,62.00㎡,东,1室0厅1卫
独栋·智选假日酒店 智选假日酒店-广州番禺店 园景套房（一房一厅）-0中介费/酒店式服务/免费停车 1室1厅,,,,70.00㎡,,1室1厅1卫
整租·保利天悦 1室1厅 北,海珠,万胜围,保利天悦,68.00㎡,北,1室1厅1卫
独栋·智选假日酒店 智选假日酒店-广州番禺店 一房一厅套房-0中介费/花园景色/拎包入住/免费停车 1室1厅,,,,70.00㎡,,1室1厅1卫
整租·青菜岗 1室1厅 西南,越秀,建设路,青菜岗,78.51㎡,西南,1室1厅1卫
独栋·城家公寓 城家高级公寓广州番禺大道公寓酒店 有优惠一室一厅 1室1厅,,,,67.75㎡,,1室1厅1卫
整租·保利天悦 1室1厅 北,海珠,万胜围,保利天悦,68.00㎡,北,1室1厅1卫
独栋·东呈酒店集团 宜尚酒店广州融创狮岭国际皮具城店 智能行政套房 开间,,,,65.00㎡,,1室0厅1卫
整租·方圆月岛轩 1室2厅 北,天河,珠江新城中,方圆月岛轩,73.00㎡,北,1室2厅1卫
整租·方圆月岛轩 1室1厅 西,天河,珠江新城中,方圆月岛轩,66.00㎡,西,1室1厅1卫
整租·正佳万豪金殿 1室2厅 西,天河,天河南,正佳万豪金殿,69.00㎡,西,1室2厅1卫
整租·粤海广场 1室1厅 复式 南,番禺,万博,粤海广场,60.00㎡,南,1室1厅1卫
整租·汇金国际金融中心 1室1厅 南,天河,金融城,汇金国际金融中心,60.00㎡,南,1室1厅1卫
整租·梅园西路 1室1厅 复式 北,海珠,工业大道北,梅园西路,63.00㎡,北,1室1厅1卫
整租·保利中汇广场 1室2厅 东南,天河,林和,保利中汇广场,67.00㎡,东南,1室2厅2卫
整租·高德公馆 1室1厅 东,天河,珠江新城中,高德公馆,64.00㎡,东,1室1厅1卫
整租·保利天悦 1室1厅 北,海珠,万胜围,保利天悦,68.21㎡,北,1室1厅1卫
整租·方圆月岛轩 1室1厅 北,天河,珠江新城中,方圆月岛轩,72.00㎡,北,1室1厅1卫
整租·椰诚阁 1室0厅 东,越秀,越秀南,椰诚阁,60.00㎡,东,1室0厅0卫
整租·创逸雅苑 1室1厅 南,天河,龙口东,创逸雅苑,80.00㎡,南,1室1厅1卫
整租·万菱汇广场 1室1厅 北,天河,天河南,万菱汇广场,62.00㎡,北,1室1厅1卫
整租·招商城市主场 1室1厅 南,番禺,万博,招商城市主场,73.00㎡,南,1室1厅1卫
整租·招商城市主场 1室1厅 南,番禺,万博,招商城市主场,73.00㎡,南,1室1厅1卫
整租·东华东路 1室0厅 南,越秀,东湖,东华东路,60.00㎡,南,1室0厅0卫
整租·中达广场 1室1厅 南,天河,珠江新城中,中达广场,64.00㎡,南,1室1厅1卫
整租·万菱汇广场 1室0厅 南,天河,天河南,万菱汇广场,67.85㎡,南,1室0厅1卫
整租·广信金兰花园 1室1厅 东南,白云,白云大道南,广信金兰花园,70.00㎡,东南,1室1厅1卫
整租·财润国际大厦 1室1厅 南,天河,粤垦,财润国际大厦,62.00㎡,南,1室1厅1卫
整租·合润广场 1室0厅 东,越秀,北京路,合润广场,68.56㎡,东,1室0厅1卫
整租·敏捷海大大厦 1室0厅 南,番禺,万博,敏捷海大大厦,63.00㎡,南,1室0厅1卫
整租·远洋天骄广场 1室1厅 东南,天河,天河客运站,远洋天骄广场,62.00㎡,东南,1室1厅1卫
整租·飞晟文汇 1室1厅 南,黄埔,香雪,飞晟文汇,73.00㎡,南,1室1厅1卫
整租·中国铁建环球中心 1室2厅 南,南沙,南沙区府,中国铁建环球中心,64.00㎡,南,1室2厅1卫
整租·奥园广场 1室1厅 南,番禺,桥南,奥园广场,65.00㎡,南,1室1厅1卫
整租·合润广场 1室0厅 南,越秀,北京路,合润广场,68.00㎡,南,1室0厅0卫
整租·萝岗万达广场 1室1厅 东北,黄埔,科学城,萝岗万达广场,64.00㎡,东北,1室1厅1卫
整租·绿地滨江汇 1室1厅 西南,海珠,工业大道中,绿地滨江汇,61.00㎡,西南,1室1厅1卫
整租·绿地滨江汇 1室1厅 南,海珠,工业大道中,绿地滨江汇,60.00㎡,南,1室1厅1卫
整租·广东国际大厦 1室1厅 西南,越秀,淘金,广东国际大厦,60.00㎡,西南,1室1厅1卫
整租·中山三路 1室1厅 东南,越秀,东川路,中山三路,60.00㎡,东南,1室1厅1卫
整租·广东国际大厦 1室1厅 东南,越秀,淘金,广东国际大厦,63.00㎡,东南,1室1厅1卫
整租·广州绿地城 1室1厅 复式 东南/南,黄埔,知识城,广州绿地城,80.00㎡,东南 南,1室1厅1卫
整租·豪悦商务大厦 1室0厅 东南,番禺,市桥,豪悦商务大厦,61.00㎡,东南,1室0厅0卫
整租·萝岗万达广场 1室1厅 东北,黄埔,科学城,萝岗万达广场,63.00㎡,东北,1室1厅1卫
整租·凤和城 1室1厅 北,白云,人和,凤和城,75.58㎡,北,1室1厅1卫
整租·凤和城 1室1厅 南/北,白云,人和,凤和城,75.58㎡,南 北,1室1厅1卫
整租·中鼎名汇 1室1厅 南,黄埔,黄埔区府,中鼎名汇,68.00㎡,南,1室1厅1卫
整租·远洋天骄广场 1室1厅 东南,天河,天河客运站,远洋天骄广场,62.00㎡,东南,1室1厅1卫
整租·萝岗万达广场 1室1厅 东,黄埔,科学城,萝岗万达广场,63.00㎡,东,1室1厅1卫
整租·广州星河湾赏心园 1室1厅 南,番禺,星河湾,广州星河湾赏心园,80.00㎡,南,1室1厅1卫
整租·长华创意谷 1室1厅 南/北,番禺,祈福新村,长华创意谷,60.00㎡,南 北,1室1厅1卫
整租·广州雅居乐花园时光九篇 1室1厅 西南,番禺,雅居乐,广州雅居乐花园时光九篇,80.00㎡,西南,1室1厅1卫
整租·江燕路 1室1厅 南,海珠,江燕路,江燕路,60.00㎡,南,1室1厅1卫
整租·海天花园 1室1厅 东南,番禺,洛溪,海天花园,70.00㎡,东南,1室1厅1卫
整租·东汇城国际公寓 1室1厅 南,增城,荔城中区,东汇城国际公寓,80.00㎡,南,1室1厅1卫
整租·荷塘领会 1室0厅 南,白云,黄石,荷塘领会,63.00㎡,南,1室0厅1卫
整租·理想青年荟 1室1厅 复式 西北,天河,天河公园,理想青年荟,65.76㎡,西北,1室1厅2卫
整租·海印总统公馆 1室0厅 西,番禺,万博,海印总统公馆,64.00㎡,西,1室0厅1卫
整租·嘉诚国际公寓 1室1厅 西南,越秀,水荫,嘉诚国际公寓,64.00㎡,西南,1室1厅1卫
整租·尚德大厦 1室1厅 西南,天河,龙口东,尚德大厦,60.00㎡,西南,1室1厅1卫
整租·财润国际大厦 1室1厅 南,天河,粤垦,财润国际大厦,62.00㎡,南,1室1厅1卫
整租·尚塬颐都汇 1室1厅 南,天河,沙河,尚塬颐都汇,60.00㎡,南,1室1厅1卫
整租·尚德大厦 1室1厅 东南,天河,龙口东,尚德大厦,63.64㎡,东南,1室1厅1卫
整租·尚塬颐都汇 1室1厅 东南,天河,沙河,尚塬颐都汇,71.00㎡,东南,1室1厅1卫
整租·东方新世界 1室1厅 东,天河,天河公园,东方新世界,68.00㎡,东,1室1厅2卫
整租·尚塬颐都汇 1室1厅 南,天河,沙河,尚塬颐都汇,71.00㎡,南,1室1厅1卫
整租·明月阁 1室1厅 南,越秀,五羊新城,明月阁,71.00㎡,南,1室1厅1卫
整租·布查特官邸I期 1室1厅 东,番禺,汉溪长隆,布查特官邸I期,80.00㎡,东,1室1厅1卫
整租·万福路 1室1厅 东南,越秀,越秀南,万福路,60.00㎡,东南,1室1厅1卫
整租·合生骏景广场 1室1厅 南/北,天河,棠下,合生骏景广场,63.00㎡,南 北,1室1厅1卫
整租·贤人阁 1室1厅 西北,天河,龙口西,贤人阁,68.00㎡,西北,1室1厅1卫
整租·奥园国际中心 1室1厅 南,番禺,万博,奥园国际中心,60.00㎡,南,1室1厅1卫
整租·梅园西路 1室1厅 北,海珠,工业大道北,梅园西路,63.00㎡,北,1室1厅1卫
整租·萝岗万达广场 1室1厅 南,黄埔,科学城,萝岗万达广场,72.00㎡,南,1室1厅1卫
整租·港航中心 1室1厅 东南,黄埔,鱼珠,港航中心,60.00㎡,东南,1室1厅1卫
整租·星港城 1室1厅 东,南海,金沙洲,星港城,60.00㎡,东,1室1厅0卫
