名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·金浦小区(金桥) 2室1厅 南,浦东,碧云,金浦小区(金桥),69.15,南,2室1厅1卫,5200
整租·崧泽华城昱翠雅苑 2室1厅 南,青浦,赵巷,崧泽华城昱翠雅苑,79.91,南,2室1厅1卫,2500
整租·银都新村(1至7区) 1室1厅 南,闵行,莘庄南广场,银都新村(1至7区),42.12,南,1室1厅1卫,3900
整租·九城湖滨国际 2室2厅 南,松江,九亭,九城湖滨国际,88.52,南,2室2厅1卫,6150
整租·保利叶语(一期)(公寓) 4室2厅 南/北,宝山,顾村,保利叶语(一期)(公寓),126.95,南 北,4室2厅1卫,7000
整租·管弄五六街坊 1室1厅 南,普陀,光新,管弄五六街坊,39.75,南,1室1厅1卫,4200
整租·甘泉一村 1室0厅 南,普陀,甘泉宜川,甘泉一村,29.67,南,1室0厅1卫,3200
整租·汇腾东苑 1室1厅 南,浦东,周浦,汇腾东苑,52.07,南,1室1厅1卫,3500
整租·东渡青筑 2室1厅 南,青浦,盈浦,东渡青筑,67.66,南,2室1厅1卫,3500
整租·绿地新江桥城二期 2室2厅 南,嘉定,江桥,绿地新江桥城二期,75.94,南,2室2厅1卫,5800
整租·东旭雅苑 1室1厅 南,浦东,高行,东旭雅苑,53.65,南,1室1厅1卫,5200
整租·三盛颐景园(住宅) 2室2厅 南/北,松江,九亭,三盛颐景园(住宅),84.82,南 北,2室2厅1卫,5200
整租·绿庭尚城 3室2厅 南,松江,九亭,绿庭尚城,87.81,南,3室2厅1卫,6500
整租·雍华府(公寓) 2室1厅 南/北,闵行,颛桥,雍华府(公寓),88.14,南 北,2室1厅1卫,7100
整租·万业紫辰苑 2室1厅 南,宝山,杨行,万业紫辰苑,85.22,南,2室1厅1卫,5300
整租·共和新路2203弄 1室1厅 南,静安,大宁,共和新路2203弄,45.82,南,1室1厅1卫,5800
整租·繁荣安居 3室1厅 南/北,浦东,周浦,繁荣安居,96.14,南 北,3室1厅1卫,5200
整租·漕溪一村 1室1厅 南,徐汇,万体馆,漕溪一村,40.10,南,1室1厅1卫,5000
整租·公交新村 1室1厅 南,杨浦,鞍山,公交新村,35.00,南,1室1厅1卫,4500
整租·浦建小区 2室1厅 南,浦东,塘桥,浦建小区,46.13,南,2室1厅1卫,5800
整租·美岸栖庭(公寓) 1室2厅 南,宝山,高境,美岸栖庭(公寓),67.43,南,1室2厅1卫,6600
整租·乾溪新村 2室1厅 南,宝山,大场镇,乾溪新村,51.33,南,2室1厅1卫,4200
整租·民悦苑 2室1厅 南,宝山,张庙,民悦苑,68.65,南,2室1厅1卫,5500
整租·合景万景峰 3室2厅 南,奉贤,南桥,合景万景峰,90.33,南,3室2厅1卫,3800
整租·嘉福坊 1室1厅 南,嘉定,丰庄,嘉福坊,85.93,南,1室1厅1卫,4500
整租·绿洲丰怡园 2室1厅 南/北,嘉定,嘉定老城,绿洲丰怡园,65.78,南 北,2室1厅1卫,3000
整租·德华三村 1室1厅 南,嘉定,南翔,德华三村,48.92,南,1室1厅1卫,3600
整租·和韵家园 3室1厅 南,浦东,高行,和韵家园,83.53,南,3室1厅2卫,7000
整租·金杨新村八街坊 2室1厅 南,浦东,金杨,金杨新村八街坊,84.00,南,2室1厅1卫,6500
整租·朗诗里程 2室1厅 南,浦东,临港新城,朗诗里程,77.62,南,2室1厅1卫,2600
整租·潍坊四村 1室0厅 南,浦东,潍坊,潍坊四村,33.48,南,1室0厅1卫,4500
整租·德怡苑 1室1厅 南,普陀,长寿路,德怡苑,36.89,南,1室1厅1卫,5800
整租·保利西子湾 1室1厅 东,松江,松江大学城,保利西子湾,64.99,东,1室1厅1卫,4200
整租·谷北小区 2室1厅 南,松江,松江老城,谷北小区,45.98,南,2室1厅1卫,2700
整租·康宁坊 1室1厅 南,徐汇,康健,康宁坊,45.36,南,1室1厅1卫,5000
整租·西郊金茂府 3室1厅 南,嘉定,嘉定新城,西郊金茂府,99.00,南,3室1厅2卫,9900
整租·小囡桥小区 1室1厅 南,嘉定,嘉定老城,小囡桥小区,55.63,南,1室1厅1卫,2600
整租·人乐小区 1室1厅 南,松江,松江老城,人乐小区,37.10,南,1室1厅1卫,2300
整租·白玉新村 1室1厅 南,普陀,武宁,白玉新村,37.63,南,1室1厅1卫,5700
整租·盘古嘉德 2室1厅 南/北,嘉定,嘉定新城,盘古嘉德,76.45,南 北,2室1厅1卫,4300
整租·日月光中心伯爵居 1室1厅 西南,黄浦,打浦桥,日月光中心伯爵居,71.91,西南,1室1厅1卫,14500
整租·证大家园(三期) 2室2厅 南,浦东,高行,证大家园(三期),97.00,南,2室2厅1卫,9000
整租·南山大楼 2室1厅 南,徐汇,徐家汇,南山大楼,77.24,南,2室1厅1卫,12000
整租·平和里 1室1厅 北,黄浦,人民广场,平和里,54.00,北,1室1厅1卫,5000
整租·新花苑 3室1厅 南/北,浦东,北蔡,新花苑,73.60,南 北,3室1厅1卫,7000
整租·香溢花城(住宅) 3室2厅 南,普陀,光新,香溢花城(住宅),128.00,南,3室2厅2卫,17000
整租·绿庭尚城 3室2厅 南/北,松江,九亭,绿庭尚城,123.32,南 北,3室2厅2卫,8500
整租·龙南七村 3室1厅 南,徐汇,龙华,龙南七村,76.89,南,3室1厅1卫,8200
整租·宜川三村 1室0厅 北,普陀,甘泉宜川,宜川三村,19.52,北,1室0厅1卫,3100
整租·滨江小区 2室1厅 南/北,徐汇,徐汇滨江,滨江小区,72.53,南 北,2室1厅1卫,6500
整租·海湾艺墅 2室1厅 南,奉贤,海湾,海湾艺墅,99.93,南,2室1厅2卫,2000
整租·延吉东路115弄 2室1厅 南,杨浦,控江路,延吉东路115弄,47.34,南,2室1厅1卫,4600
整租·凌兆新村(上浦路202弄) 3室1厅 南/北,浦东,三林,凌兆新村(上浦路202弄),93.29,南 北,3室1厅1卫,7000
整租·临沂五村 2室0厅 南,浦东,南码头,临沂五村,43.67,南,2室0厅1卫,5400
整租·牡丹新村 2室1厅 南,闵行,七宝,牡丹新村,58.29,南,2室1厅1卫,6300
整租·V格时代广场 1室1厅 南,嘉定,丰庄,V格时代广场,55.34,南,1室1厅1卫,3300
整租·滨江小区 2室1厅 南,徐汇,徐汇滨江,滨江小区,72.53,南,2室1厅1卫,5600
整租·龙威名邸 3室2厅 南,浦东,洋泾,龙威名邸,119.66,南,3室2厅1卫,12000
整租·长新小区(长宁) 1室0厅 北,长宁,中山公园,长新小区(长宁),26.18,北,1室0厅1卫,5800
整租·广电大楼 1室1厅 西,静安,静安寺,广电大楼,38.75,西,1室1厅1卫,7200
整租·德州六村 2室1厅 南/北,浦东,世博,德州六村,54.00,南 北,2室1厅1卫,6200
整租·华山花苑 1室1厅 西,长宁,镇宁路,华山花苑,53.82,西,1室1厅1卫,7000
整租·上南六村 2室0厅 南,浦东,世博,上南六村,48.47,南,2室0厅1卫,5800
整租·文化名园 1室1厅 南,杨浦,五角场,文化名园,37.52,南,1室1厅1卫,5200
整租·万科天空之城一期海之洲 4室2厅 南,青浦,徐泾,万科天空之城一期海之洲,150.97,南,4室2厅2卫,12500
整租·士韵家园 2室1厅 南,浦东,三林,士韵家园,68.49,南,2室1厅1卫,6400
整租·鹏程苑 2室1厅 南,杨浦,中原,鹏程苑,73.83,南,2室1厅1卫,5700
整租·南园新村 1室1厅 西南,黄浦,打浦桥,南园新村,33.24,西南,1室1厅1卫,6000
整租·南江苑 4室2厅 南,浦东,杨思前滩,南江苑,121.92,南,4室2厅2卫,8800
整租·联洋花园(一期) 3室2厅 南,浦东,联洋,联洋花园(一期),156.88,南,3室2厅2卫,13000
整租·控江二村107弄小区 1室0厅 南,杨浦,黄兴公园,控江二村107弄小区,33.15,南,1室0厅1卫,3800
整租·甘泉一村 1室0厅 南/西,普陀,甘泉宜川,甘泉一村,29.67,南 西,1室0厅1卫,3400
整租·源昌幸福里 2室1厅 南/北,青浦,赵巷,源昌幸福里,80.93,南 北,2室1厅1卫,4300
整租·哈密路1801弄 3室1厅 南,长宁,西郊,哈密路1801弄,101.15,南,3室1厅1卫,8800
整租·三佳花苑 2室1厅 南,闵行,七宝,三佳花苑,56.36,南,2室1厅1卫,4500
整租·保辉香景园 2室2厅 南/北,杨浦,新江湾城,保辉香景园,120.54,南 北,2室2厅2卫,15000
整租·联洋花园(一期) 3室2厅 南,浦东,联洋,联洋花园(一期),156.88,南,3室2厅2卫,13000
整租·甘泉一村 1室0厅 南/西,普陀,甘泉宜川,甘泉一村,29.67,南 西,1室0厅1卫,3400
整租·控江二村107弄小区 1室0厅 南,杨浦,黄兴公园,控江二村107弄小区,33.15,南,1室0厅1卫,3800
整租·源昌幸福里 2室1厅 南/北,青浦,赵巷,源昌幸福里,80.93,南 北,2室1厅1卫,4300
整租·哈密路1801弄 3室1厅 南,长宁,西郊,哈密路1801弄,101.15,南,3室1厅1卫,8800
整租·三佳花苑 2室1厅 南,闵行,七宝,三佳花苑,56.36,南,2室1厅1卫,4500
整租·北蒙三小区 2室1厅 东南,黄浦,五里桥,北蒙三小区,54.90,东南,2室1厅1卫,8300
整租·大上海国际花园 8室4厅 南,闵行,静安新城,大上海国际花园,280.60,南,8室4厅4卫,27000
整租·龙柏七村公寓 3室2厅 南,闵行,龙柏,龙柏七村公寓,128.23,南,3室2厅2卫,12000
整租·浣纱六村 2室1厅 南,杨浦,黄兴公园,浣纱六村,72.55,南,2室1厅1卫,5800
整租·鞍山八村 2室0厅 南/北,杨浦,鞍山,鞍山八村,46.69,南 北,2室0厅1卫,5900
整租·菊泉新城(菊盛路50弄) 3室2厅 南,宝山,顾村,菊泉新城(菊盛路50弄),103.87,南,3室2厅1卫,6000
整租·佳源梦想广场 3室2厅 南,奉贤,海湾,佳源梦想广场,88.77,南,3室2厅1卫,2700
整租·上海滩花园 2室2厅 南,黄浦,黄浦滨江,上海滩花园,110.35,南,2室2厅2卫,19000
整租·海伦堡爱ME城市 2室1厅 南,嘉定,南翔,海伦堡爱ME城市,53.95,南,2室1厅1卫,4000
整租·路劲海尚湾 3室1厅 南/北,嘉定,外冈,路劲海尚湾,89.00,南 北,3室1厅2卫,3700
整租·玉兰苑(川沙) 3室1厅 南,浦东,川沙,玉兰苑(川沙),78.44,南,3室1厅1卫,5900
整租·新城碧翠 3室2厅 南,浦东,高行,新城碧翠,170.08,南,3室2厅2卫,17000
整租·黄山始信苑 3室1厅 南,浦东,金杨,黄山始信苑,86.30,南,3室1厅1卫,7800
整租·蓝色城邦(公寓) 4室2厅 复式 南,浦东,泥城镇,蓝色城邦(公寓),165.77,南,4室2厅2卫,4000
整租·潍坊九村 1室1厅 南,浦东,潍坊,潍坊九村,37.11,南,1室1厅1卫,5800
整租·西部大楼 2室1厅 南/西,普陀,甘泉宜川,西部大楼,76.95,南 西,2室1厅1卫,6800
整租·中骏天珑 3室2厅 南,青浦,徐泾,中骏天珑,118.83,南,3室2厅2卫,15500
整租·东渡悦来城 3室2厅 南,青浦,盈浦,东渡悦来城,96.94,南,3室2厅1卫,5500
整租·月季园(徐汇) 2室1厅 南,徐汇,康健,月季园(徐汇),64.46,南,2室1厅1卫,6000
整租·振兴小区(徐汇) 2室0厅 南/北,徐汇,徐家汇,振兴小区(徐汇),52.26,南 北,2室0厅1卫,6800
整租·和源大楼 1室0厅 西,静安,闸北公园,和源大楼,30.50,西,1室0厅1卫,5000
整租·东方悦居 1室1厅 南,浦东,杨思前滩,东方悦居,50.55,南,1室1厅1卫,5300
整租·露香园 5室2厅 南,黄浦,豫园,露香园,318.68,南,5室2厅5卫,59000
整租·畅馨园 3室2厅 南/北,闵行,老闵行,畅馨园,145.89,南 北,3室2厅2卫,7500
整租·蒙自路601弄 1室1厅 南,黄浦,五里桥,蒙自路601弄,35.26,南,1室1厅1卫,5100
整租·森宏旗臻 1室1厅 北,浦东,杨思前滩,森宏旗臻,36.43,北,1室1厅1卫,5500
整租·艾山新村 2室1厅 南,浦东,金杨,艾山新村,76.00,南,2室1厅1卫,7300
整租·海尚墅林苑 2室1厅 南/北,奉贤,海湾,海尚墅林苑,88.36,南 北,2室1厅1卫,2400
整租·赵家桥小区 2室1厅 南,静安,静安寺,赵家桥小区,71.40,南,2室1厅1卫,13500
整租·凯欣豪园 2室2厅 东南,长宁,中山公园,凯欣豪园,118.06,东南,2室2厅2卫,18899
整租·河畔家苑 3室2厅 南/北,青浦,徐泾,河畔家苑,139.00,南 北,3室2厅2卫,5700
整租·西郊庄园马德里洋房 1室2厅 南/北,闵行,华漕,西郊庄园马德里洋房,90.62,南 北,1室2厅1卫,9500
整租·沿海丽水馨庭(公寓) 2室2厅 南,松江,莘闵别墅,沿海丽水馨庭(公寓),86.25,南,2室2厅1卫,3500
整租·小上海新城 1室1厅 南/北,浦东,周浦,小上海新城,62.00,南 北,1室1厅1卫,4800
整租·真华路36弄 2室1厅 南,普陀,万里,真华路36弄,103.81,南,2室1厅1卫,7200
整租·桃浦七村雪松苑 1室1厅 南,普陀,桃浦,桃浦七村雪松苑,35.01,南,1室1厅1卫,3100
整租·杨桥第一小区 1室1厅 南,普陀,桃浦,杨桥第一小区,46.51,南,1室1厅1卫,4200
整租·河滨城市花园 2室2厅 南,浦东,曹路,河滨城市花园,90.64,南,2室2厅1卫,7000
整租·惠德新邨 1室1厅 南,浦东,北蔡,惠德新邨,39.97,南,1室1厅1卫,4500
整租·经纬城市绿洲 2室2厅 南/北,宝山,上大,经纬城市绿洲,88.81,南 北,2室2厅1卫,4500
整租·虹仙小区 1室1厅 南,长宁,仙霞,虹仙小区,36.07,南,1室1厅1卫,4500
整租·打虎大楼 2室1厅 南,杨浦,鞍山,打虎大楼,53.57,南,2室1厅1卫,6000
整租·金色西郊城 3室2厅 南/北,闵行,华漕,金色西郊城,158.56,南 北,3室2厅2卫,8000
整租·普陀四村 1室1厅 南,普陀,武宁,普陀四村,38.31,南,1室1厅1卫,4500
整租·张杨路370弄 1室1厅 南,浦东,陆家嘴,张杨路370弄,35.00,南,1室1厅1卫,5000
整租·美罗家园宝欣苑一村 1室1厅 南/北,宝山,罗店,美罗家园宝欣苑一村,53.18,南 北,1室1厅1卫,2500
整租·塘和家园德悦苑 1室0厅 南,松江,泗泾,塘和家园德悦苑,48.30,南,1室0厅1卫,2800
整租·风度国际 4室2厅 南,闵行,金汇,风度国际,156.00,南,4室2厅2卫,19000
整租·美树铭家 3室2厅 南/北,宝山,张庙,美树铭家,124.63,南 北,3室2厅2卫,7500
整租·开城新村 2室2厅 南,闵行,莘庄南广场,开城新村,64.06,南,2室2厅1卫,5000
整租·梅陇三村 1室1厅 南,徐汇,华东理工,梅陇三村,34.45,南,1室1厅1卫,4000
整租·金桥酒店公寓 1室1厅 南,浦东,碧云,金桥酒店公寓,62.36,南,1室1厅1卫,6500
整租·管弄五六街坊 2室1厅 南,普陀,光新,管弄五六街坊,60.19,南,2室1厅1卫,6800
整租·独立时代 1室1厅 西,黄浦,蓬莱公园,独立时代,37.00,西,1室1厅1卫,5000
整租·花木新村 2室1厅 南/北,浦东,北蔡,花木新村,84.22,南 北,2室1厅1卫,6500
整租·万乐城(商业类) 1室0厅 南,闵行,吴泾,万乐城(商业类),28.75,南,1室0厅1卫,2600
整租·布鲁斯小镇(绿地·皇家官邸) 2室1厅 南,浦东,惠南,布鲁斯小镇(绿地·皇家官邸),91.50,南,2室1厅1卫,3500
整租·新华南园大厦 3室1厅 南,黄浦,世博滨江,新华南园大厦,98.42,南,3室1厅1卫,11000
整租·国贸天悦一期观澜庭 3室2厅 南,松江,佘山,国贸天悦一期观澜庭,128.43,南,3室2厅2卫,7500
整租·兴新小区 1室1厅 南,静安,不夜城,兴新小区,40.00,南,1室1厅1卫,5500
整租·罗阳一村 1室1厅 南/北,闵行,梅陇,罗阳一村,53.05,南 北,1室1厅1卫,4200
整租·虹桥正荣府 3室2厅 南,青浦,徐泾,虹桥正荣府,163.19,南,3室2厅2卫,13000
整租·长顺小区 1室0厅 南,长宁,新华路,长顺小区,29.87,南,1室0厅1卫,4500
整租·上河湾 4室2厅 南/北,普陀,长征,上河湾,276.00,南 北,4室2厅3卫,28000
整租·天山三村 1室1厅 北,长宁,中山公园,天山三村,27.30,北,1室1厅1卫,5500
整租·紫勋风雅苑 2室2厅 南,长宁,新华路,紫勋风雅苑,121.75,南,2室2厅2卫,16500
整租·保利叶之林(二期) 4室2厅 南,宝山,上大,保利叶之林(二期),180.77,南,4室2厅2卫,11800
整租·安临小区 2室1厅 南,浦东,杨思前滩,安临小区,34.74,南,2室1厅2卫,5800
整租·凯欣豪园 2室2厅 东南,长宁,中山公园,凯欣豪园,118.06,东南,2室2厅2卫,18899
整租·毕加索小镇(一期)(公寓) 3室2厅 南/北,浦东,唐镇,毕加索小镇(一期)(公寓),166.00,南 北,3室2厅1卫,10000
整租·东润舒庭 3室2厅 南,嘉定,新成路,东润舒庭,127.84,南,3室2厅2卫,6000
整租·衡安大楼 2室1厅 南,徐汇,衡山路,衡安大楼,69.75,南,2室1厅1卫,12000
整租·西郊庄园马德里洋房 1室2厅 南/北,闵行,华漕,西郊庄园马德里洋房,90.62,南 北,1室2厅1卫,9500
整租·新长征花苑 2室1厅 南,普陀,长征,新长征花苑,56.78,南,2室1厅1卫,5500
整租·君悦湾 3室2厅 南,青浦,徐泾,君悦湾,117.19,南,3室2厅2卫,11000
整租·星尚湾名邸 2室2厅 南/北,青浦,华新,星尚湾名邸,89.00,南 北,2室2厅1卫,4700
整租·逸翠公馆 2室2厅 南,浦东,世博,逸翠公馆,86.45,南,2室2厅1卫,7600
整租·万航渡路174-190号(双) 1室0厅 东北,静安,静安寺,万航渡路174-190号(双),30.08,东北,1室0厅1卫,5700
整租·金海华城·达诚雅苑 2室1厅 东南/南,浦东,曹路,金海华城·达诚雅苑,74.50,东南 南,2室1厅1卫,5300
整租·棕榈泉花园 4室3厅 复式 南,浦东,唐镇,棕榈泉花园,292.62,南,4室3厅4卫,45000
整租·德怡苑 1室1厅 南,普陀,长寿路,德怡苑,69.00,南,1室1厅1卫,8000
整租·开发浦东 2室1厅 南,浦东,潍坊,开发浦东,67.41,南,2室1厅1卫,8500
整租·太浜巷小区 2室1厅 南,普陀,光新,太浜巷小区,67.07,南,2室1厅1卫,6500
整租·绿地和苑 2室2厅 南,嘉定,嘉定新城,绿地和苑,91.87,南,2室2厅1卫,4500
整租·雪野二村 1室1厅 南,浦东,世博,雪野二村,74.75,南,1室1厅1卫,7200
整租·新世纪花苑(二期)(浦东) 2室1厅 南,浦东,世博,新世纪花苑(二期)(浦东),69.19,南,2室1厅1卫,6500
整租·美罗家园宝欣苑一村 2室1厅 南/北,宝山,罗店,美罗家园宝欣苑一村,68.38,南 北,2室1厅1卫,1500
整租·宝地绿洲城 3室2厅 南,宝山,杨行,宝地绿洲城,132.37,南,3室2厅2卫,6200
整租·凤鸣海尚 3室2厅 南,奉贤,海湾,凤鸣海尚,88.96,南,3室2厅2卫,2000
整租·海湾艺墅 2室1厅 南,奉贤,海湾,海湾艺墅,99.93,南,2室1厅2卫,2000
整租·金海壹品 3室2厅 南,奉贤,南桥,金海壹品,83.21,南,3室2厅1卫,4300
整租·新三小区 1室1厅 南,虹口,江湾镇,新三小区,37.00,南,1室1厅1卫,4200
整租·V格时代广场 1室1厅 南,嘉定,丰庄,V格时代广场,55.34,南,1室1厅1卫,3300
整租·首创旭辉城 2室2厅 南,嘉定,徐行,首创旭辉城,73.62,南,2室2厅1卫,3400
整租·广电大楼 1室1厅 西,静安,静安寺,广电大楼,38.75,西,1室1厅1卫,7200
整租·证大家园(三期) 2室1厅 南,浦东,高行,证大家园(三期),88.00,南,2室1厅1卫,8000
整租·证大家园(五期) 3室2厅 南,浦东,高行,证大家园(五期),103.17,南,3室2厅1卫,9500
整租·云麓里 3室2厅 南,浦东,航头,云麓里,90.21,南,3室2厅2卫,3200
整租·联洋花园(一期) 3室2厅 南,浦东,联洋,联洋花园(一期),156.88,南,3室2厅2卫,13000
整租·宜浩佳园北区 2室2厅 南,浦东,临港新城,宜浩佳园北区,110.00,南,2室2厅2卫,3000
整租·保利玲珑公馆 3室2厅 南,浦东,临港新城,保利玲珑公馆,91.00,南,3室2厅2卫,4200
整租·临沂六村 1室1厅 南,浦东,南码头,临沂六村,37.00,南,1室1厅1卫,5600
整租·唐丰苑 1室1厅 南,浦东,唐镇,唐丰苑,58.44,南,1室1厅1卫,5200
整租·潍坊三村 1室1厅 南,浦东,潍坊,潍坊三村,40.52,南,1室1厅1卫,6200
整租·泾东小区 1室1厅 南,浦东,洋泾,泾东小区,38.38,南,1室1厅1卫,5000
整租·安康新村 2室1厅 南/北,浦东,周浦,安康新村,61.48,南 北,2室1厅1卫,4500
整租·长风二村风荷园 2室1厅 南/北,普陀,长风,长风二村风荷园,51.08,南 北,2室1厅1卫,6200
整租·世纪之门 1室1厅 东,普陀,长寿路,世纪之门,59.36,东,1室1厅1卫,7500
整租·清涧七街坊 1室1厅 南,普陀,真光,清涧七街坊,49.16,南,1室1厅1卫,4200
整租·信达蓝爵 2室2厅 南,松江,松江大学城,信达蓝爵,82.20,南,2室2厅1卫,4800
整租·三湘四季花城 2室1厅 南,松江,松江大学城,三湘四季花城,103.37,南,2室1厅1卫,4000
整租·花苑村丁香园 2室1厅 南/北,徐汇,康健,花苑村丁香园,62.61,南 北,2室1厅1卫,5100
整租·玉峰花园 2室1厅 南,静安,阳城,玉峰花园,69.02,南,2室1厅1卫,5100
整租·水霞小区 1室1厅 南,长宁,仙霞,水霞小区,33.95,南,1室1厅1卫,5200
整租·振和公寓 2室1厅 南,静安,闸北公园,振和公寓,152.02,南,2室1厅1卫,7500
整租·江悦名庭 1室1厅 南/北,浦东,杨思前滩,江悦名庭,57.00,南 北,1室1厅1卫,8800
整租·好世鹿鸣苑 1室0厅 南/北,闵行,莘庄南广场,好世鹿鸣苑,55.64,南 北,1室0厅1卫,6500
整租·金丰小区北区（121弄） 1室1厅 南,闵行,华漕,金丰小区北区（121弄）,49.08,南,1室1厅1卫,4000
整租·古北新城 3室2厅 南/北,闵行,金虹桥,古北新城,123.47,南 北,3室2厅1卫,11000
整租·新浦江城(浦驰路1336弄) 4室2厅 南,闵行,浦江,新浦江城(浦驰路1336弄),174.60,南,4室2厅2卫,13500
整租·田林十四村 1室0厅 南,徐汇,田林,田林十四村,36.89,南,1室0厅1卫,5500
整租·中山北路2185弄 1室1厅 南,普陀,光新,中山北路2185弄,36.57,南,1室1厅1卫,5500
整租·白大楼 1室1厅 南,普陀,武宁,白大楼,73.83,南,1室1厅1卫,8000
整租·青春驿站 1室1厅 南/北,松江,九亭,青春驿站,63.35,南 北,1室1厅1卫,3500
整租·黄浦众鑫城 3室2厅 南,黄浦,老西门,黄浦众鑫城,121.00,南,3室2厅2卫,18000
整租·通河四村 1室1厅 南,宝山,通河,通河四村,40.55,南,1室1厅1卫,3600
